Country,Continent,Population,Cases,Deaths,Cases per Capita,Death Rate
Nauru,Australia/Oceania,12780,5393,1,0.42,0.0
Kiribati,Australia/Oceania,133515,5085,24,0.04,0.0
Anguilla,North America,15899,3904,12,0.25,0.0
Wallis & Futuna,Australia/Oceania,11502,3550,8,0.31,0.0
Saint Pierre & Miquelon,North America,5840,3452,2,0.59,0.0
Tuvalu,Australia/Oceania,11396,2943,1,0.26,0.0
Saint Helena,Africa,5314,2166,0,0.41,0.0
Falkland Islands,South America,3791,1930,0,0.51,0.0
Montserrat,North America,4386,1403,8,0.32,0.01
Niue,Australia/Oceania,1935,1059,0,0.55,0.0
Tokelau,Australia/Oceania,1893,80,0,0.04,0.0
Holy See,Europe,518,29,0,0.06,0.0
Western Sahara,Africa,587259,10,1,0.0,0.1
